USN,Status,User Created,Student Created,Mother Created,Father Created,Present Address,Permanent Address,Entrance Exams,SSLC Record,PUC Record,Error Message
4AL22CS035,SUCCESS,true,true,true,true,true,true,true,true,true,""
4AL22CS036,SUCCESS,true,true,true,true,true,true,true,true,true,""
4AL22CS037,SUCCESS,true,true,true,true,true,true,true,true,true,""
4AL22CS038,SUCCESS,true,true,true,true,true,true,true,true,true,""
4AL22CS039,SUCCESS,true,true,true,true,true,true,true,true,true,""
4AL22CS040,SUCCESS,true,true,true,true,true,true,true,true,true,""
4AL22CS041,SUCCESS,true,true,true,true,true,true,true,true,true,""
4AL22CS042,SUCCESS,true,true,true,true,true,true,true,true,true,""
4AL22CS043,SUCCESS,true,true,true,true,true,true,true,true,true,""
4AL22CS044,SUCCESS,true,true,true,true,true,true,true,true,true,""
4AL22CS045,SUCCESS,true,true,true,true,true,true,true,true,true,""
4AL22CS046,SUCCESS,true,true,true,true,true,true,true,true,true,""
4AL22CS047,SUCCESS,true,true,true,true,true,true,true,true,true,""
4AL22CS048,SUCCESS,true,true,true,true,true,true,true,true,true,""
4AL22CS049,PARTIAL,true,true,true,false,true,true,true,true,true,"Core data imported but some supplementary data failed"
4AL22CS050,SUCCESS,true,true,true,true,true,true,true,true,true,""
4AL22CS051,SUCCESS,true,true,true,true,true,true,true,true,true,""
4AL22CS052,SUCCESS,true,true,true,true,true,true,true,true,true,""
4AL22CS053,SUCCESS,true,true,true,true,true,true,true,true,true,""
4AL22CS055,SUCCESS,true,true,true,true,true,true,true,true,true,""
4AL22CS056,SUCCESS,true,true,true,true,true,true,true,true,true,""
4AL22CS057,SUCCESS,true,true,true,true,true,true,true,true,true,""
4AL22CS058,SUCCESS,true,true,true,true,true,true,true,true,true,""
4AL22CS059,SUCCESS,true,true,true,true,true,true,true,true,true,""
4AL22CS060,SUCCESS,true,true,true,true,true,true,true,true,true,""
4AL22CS061,SUCCESS,true,true,true,true,true,true,true,true,true,""
4AL22CS063,SUCCESS,true,true,true,true,true,true,true,true,true,""
4AL22CS064,PARTIAL,true,true,true,true,true,false,true,true,true,"Core data imported but some supplementary data failed"
4AL22CS065,SUCCESS,true,true,true,true,true,true,true,true,true,""
4AL22CS066,SUCCESS,true,true,true,true,true,true,true,true,true,""
4AL22CS067,SUCCESS,true,true,true,true,true,true,true,true,true,""
4AL22CS068,SUCCESS,true,true,true,true,true,true,true,true,true,""
4AL22CS069,SUCCESS,true,true,true,true,true,true,true,true,true,""
4AL22CS070,SUCCESS,true,true,true,true,true,true,true,true,true,""
4AL22CS071,SUCCESS,true,true,true,true,true,true,true,true,true,""
4AL22CS072,SUCCESS,true,true,true,true,true,true,true,true,true,""
4AL22CS073,SUCCESS,true,true,true,true,true,true,true,true,true,""
4AL22CS074,SUCCESS,true,true,true,true,true,true,true,true,true,""
4AL22CS075,SUCCESS,true,true,true,true,true,true,true,true,true,""
4AL22CS076,SUCCESS,true,true,true,true,true,true,true,true,true,""
4AL22CS077,SUCCESS,true,true,true,true,true,true,true,true,true,""
4AL22CS078,SUCCESS,true,true,true,true,true,true,true,true,true,""
4AL22CS079,SUCCESS,true,true,true,true,true,true,true,true,true,""
4AL22CS080,SUCCESS,true,true,true,true,true,true,true,true,true,""
4AL22CS081,SUCCESS,true,true,true,true,true,true,true,true,true,""
4AL22CS082,SUCCESS,true,true,true,true,true,true,true,true,true,""
4AL22CS083,SUCCESS,true,true,true,true,true,true,true,true,true,""
4AL22CS084,SUCCESS,true,true,true,true,true,true,true,true,true,""
4AL22CS085,SUCCESS,true,true,true,true,true,true,true,true,true,""
4AL22CS086,SUCCESS,true,true,true,true,true,true,true,true,true,""
4AL22CS087,SUCCESS,true,true,true,true,true,true,true,true,true,""
4AL22CS088,SUCCESS,true,true,true,true,true,true,true,true,true,""
4AL22CS089,SUCCESS,true,true,true,true,true,true,true,true,true,""
4AL22CS090,SUCCESS,true,true,true,true,true,true,true,true,true,""
4AL22CS091,SUCCESS,true,true,true,true,true,true,true,true,true,""
4AL22CS092,SUCCESS,true,true,true,true,true,true,true,true,true,""
4AL22CS093,SUCCESS,true,true,true,true,true,true,true,true,true,""
4AL22CS094,SUCCESS,true,true,true,true,true,true,true,true,true,""
4AL22CS095,SUCCESS,true,true,true,true,true,true,true,true,true,""
4AL22CS096,SUCCESS,true,true,true,true,true,true,true,true,true,""
4AL22CS097,SUCCESS,true,true,true,true,true,true,true,true,true,""
4AL22CS098,PARTIAL,true,true,true,false,true,true,true,true,true,"Core data imported but some supplementary data failed"
4AL22CS099,SUCCESS,true,true,true,true,true,true,true,true,true,""
4AL22CS100,SUCCESS,true,true,true,true,true,true,true,true,true,""
4AL22CS101,SUCCESS,true,true,true,true,true,true,true,true,true,""
4AL22CS102,SUCCESS,true,true,true,true,true,true,true,true,true,""
4AL22CS103,SUCCESS,true,true,true,true,true,true,true,true,true,""
4AL22CS104,SUCCESS,true,true,true,true,true,true,true,true,true,""
4AL22CS105,SUCCESS,true,true,true,true,true,true,true,true,true,""
4AL22CS106,SUCCESS,true,true,true,true,true,true,true,true,true,""
4AL22CS107,SUCCESS,true,true,true,true,true,true,true,true,true,""
4AL22CS108,SUCCESS,true,true,true,true,true,true,true,true,true,""
4AL22CS109,SUCCESS,true,true,true,true,true,true,true,true,true,""
4AL22CS110,SUCCESS,true,true,true,true,true,true,true,true,true,""
4AL22CS111,SUCCESS,true,true,true,true,true,true,true,true,true,""
4AL22CS112,SUCCESS,true,true,true,true,true,true,true,true,true,""
4AL22CS113,SUCCESS,true,true,true,true,true,true,true,true,true,""
4AL22CS114,SUCCESS,true,true,true,true,true,true,true,true,true,""
4AL22CS115,SUCCESS,true,true,true,true,true,true,true,true,true,""
4AL22CS116,SUCCESS,true,true,true,true,true,true,true,true,true,""
4AL22CS117,PARTIAL,true,true,true,true,true,false,true,true,true,"Core data imported but some supplementary data failed"
4AL22CS118,SUCCESS,true,true,true,true,true,true,true,true,true,""
4AL22CS119,SUCCESS,true,true,true,true,true,true,true,true,true,""
4AL22CS120,SUCCESS,true,true,true,true,true,true,true,true,true,""
4AL22CS121,SUCCESS,true,true,true,true,true,true,true,true,true,""
4AL22CS122,SUCCESS,true,true,true,true,true,true,true,true,true,""
4AL22CS123,SUCCESS,true,true,true,true,true,true,true,true,true,""
4AL22CS124,SUCCESS,true,true,true,true,true,true,true,true,true,""
4AL22CS125,SUCCESS,true,true,true,true,true,true,true,true,true,""
4AL22CS126,SUCCESS,true,true,true,true,true,true,true,true,true,""
4AL22CS127,SUCCESS,true,true,true,true,true,true,true,true,true,""
4AL22CS128,SUCCESS,true,true,true,true,true,true,true,true,true,""
4AL22CS129,SUCCESS,true,true,true,true,true,true,true,true,true,""
4AL22CS130,SUCCESS,true,true,true,true,true,true,true,true,true,""
4AL22CS131,SUCCESS,true,true,true,true,true,true,true,true,true,""
4AL22CS132,SUCCESS,true,true,true,true,true,true,true,true,true,""
4AL22CS133,SUCCESS,true,true,true,true,true,true,true,true,true,""
4AL22CS134,SUCCESS,true,true,true,true,true,true,true,true,true,""
4AL22CS135,SUCCESS,true,true,true,true,true,true,true,true,true,""
4AL22CS136,SUCCESS,true,true,true,true,true,true,true,true,true,""
4AL22CS137,SUCCESS,true,true,true,true,true,true,true,true,true,""
4AL22CS138,PARTIAL,true,true,true,true,true,false,true,true,true,"Core data imported but some supplementary data failed"
4AL22CS139,SUCCESS,true,true,true,true,true,true,true,true,true,""
4AL22CS140,SUCCESS,true,true,true,true,true,true,true,true,true,""
4AL22CS141,SUCCESS,true,true,true,true,true,true,true,true,true,""
4AL22CS142,SUCCESS,true,true,true,true,true,true,true,true,true,""
4AL22CS143,SUCCESS,true,true,true,true,true,true,true,true,true,""
4AL22CS144,SUCCESS,true,true,true,true,true,true,true,true,true,""
4AL22CS145,SUCCESS,true,true,true,true,true,true,true,true,true,""
4AL22CS146,SUCCESS,true,true,true,true,true,true,true,true,true,""
4AL22CS147,SUCCESS,true,true,true,true,true,true,true,true,true,""
4AL22CS148,SUCCESS,true,true,true,true,true,true,true,true,true,""
4AL22CS149,SUCCESS,true,true,true,true,true,true,true,true,true,""
4AL22CS150,SUCCESS,true,true,true,true,true,true,true,true,true,""
4AL22CS151,SUCCESS,true,true,true,true,true,true,true,true,true,""
4AL22CS152,PARTIAL,true,true,true,true,true,false,true,true,true,"Core data imported but some supplementary data failed"
4AL22CS153,SUCCESS,true,true,true,true,true,true,true,true,true,""
4AL22CS154,SUCCESS,true,true,true,true,true,true,true,true,true,""
4AL22CS155,SUCCESS,true,true,true,true,true,true,true,true,true,""
4AL22CS156,SUCCESS,true,true,true,true,true,true,true,true,true,""
4AL22CS157,SUCCESS,true,true,true,true,true,true,true,true,true,""
4AL22CS158,SUCCESS,true,true,true,true,true,true,true,true,true,""
4AL22CS159,PARTIAL,true,true,true,false,true,true,true,true,true,"Core data imported but some supplementary data failed"
4AL22CS160,SUCCESS,true,true,true,true,true,true,true,true,true,""
4AL22CS161,SUCCESS,true,true,true,true,true,true,true,true,true,""
4AL22CS162,SUCCESS,true,true,true,true,true,true,true,true,true,""
4AL22CS163,SUCCESS,true,true,true,true,true,true,true,true,true,""
4AL22CS164,SUCCESS,true,true,true,true,true,true,true,true,true,""
4AL22CS165,SUCCESS,true,true,true,true,true,true,true,true,true,""
4AL22CS166,SUCCESS,true,true,true,true,true,true,true,true,true,""
4AL22CS167,SUCCESS,true,true,true,true,true,true,true,true,true,""
4AL22CS168,SUCCESS,true,true,true,true,true,true,true,true,true,""
4AL22CS169,SUCCESS,true,true,true,true,true,true,true,true,true,""
4AL22CS170,SUCCESS,true,true,true,true,true,true,true,true,true,""
4AL22CS171,SUCCESS,true,true,true,true,true,true,true,true,true,""
4AL22CS172,SUCCESS,true,true,true,true,true,true,true,true,true,""
4AL22CS173,SUCCESS,true,true,true,true,true,true,true,true,true,""
4AL22CS174,SUCCESS,true,true,true,true,true,true,true,true,true,""
4AL22CS175,SUCCESS,true,true,true,true,true,true,true,true,true,""
4AL22CS176,SUCCESS,true,true,true,true,true,true,true,true,true,""
4AL22CS177,SUCCESS,true,true,true,true,true,true,true,true,true,""
4AL22CS178,SUCCESS,true,true,true,true,true,true,true,true,true,""
4AL22CS179,SUCCESS,true,true,true,true,true,true,true,true,true,""
4AL22CS180,SUCCESS,true,true,true,true,true,true,true,true,true,""
4AL22CS181,SUCCESS,true,true,true,true,true,true,true,true,true,""
4AL22CS182,SUCCESS,true,true,true,true,true,true,true,true,true,""
4AL22CS183,SUCCESS,true,true,true,true,true,true,true,true,true,""
4AL22CS184,SUCCESS,true,true,true,true,true,true,true,true,true,""
4AL22CS185,SUCCESS,true,true,true,true,true,true,true,true,true,""
4AL22CS186,SUCCESS,true,true,true,true,true,true,true,true,true,""
4AL22CS187,SUCCESS,true,true,true,true,true,true,true,true,true,""
4AL22CS188,SUCCESS,true,true,true,true,true,true,true,true,true,""
4AL22CS189,SUCCESS,true,true,true,true,true,true,true,true,true,""
4AL22CS190,SUCCESS,true,true,true,true,true,true,true,true,true,""
4AL23CS400,SUCCESS,true,true,true,true,true,true,true,true,true,""
4AL23CS401,SUCCESS,true,true,true,true,true,true,true,true,true,""
4AL23CS402,SUCCESS,true,true,true,true,true,true,true,true,true,""
4AL23CS403,SUCCESS,true,true,true,true,true,true,true,true,true,""
4AL23CS404,SUCCESS,true,true,true,true,true,true,true,true,true,""
4AL23CS405,SUCCESS,true,true,true,true,true,true,true,true,true,""
4AL23CS406,SUCCESS,true,true,true,true,true,true,true,true,true,""
4AL23CS407,SUCCESS,true,true,true,true,true,true,true,true,true,""
4AL23CS408,SUCCESS,true,true,true,true,true,true,true,true,true,""
4AL23CS409,SUCCESS,true,true,true,true,true,true,true,true,true,""
4AL23CS410,SUCCESS,true,true,true,true,true,true,true,true,true,""
4AL23CS411,SUCCESS,true,true,true,true,true,true,true,true,true,""
4AL23CS412,SUCCESS,true,true,true,true,true,true,true,true,true,""
