USN,Status,Details,SupplementaryDataStatus
4AL22CS041,PARTIAL,"Student already exists","Not attempted"
4AL22CS042,PARTIAL,"Student already exists","Not attempted"
4AL22CS043,PARTIAL,"Student already exists","Not attempted"
4AL22CS044,PARTIAL,"Student already exists","Not attempted"
4AL22CS045,PARTIAL,"Student already exists","Not attempted"
4AL22CS046,PARTIAL,"Student already exists","Not attempted"
4AL22CS047,PARTIAL,"Student already exists","Not attempted"
4AL22CS048,PARTIAL,"Student already exists","Not attempted"
4AL22CS049,PARTIAL,"Student already exists","Not attempted"
4AL22CS050,PARTIAL,"Student already exists","Not attempted"
4AL22CS051,PARTIAL,"Student already exists","Not attempted"
4AL22CS052,PARTIAL,"Student already exists","Not attempted"
4AL22CS053,PARTIAL,"Student already exists","Not attempted"
4AL22CS055,PARTIAL,"Student already exists","Not attempted"
4AL22CS056,PARTIAL,"Student already exists","Not attempted"
4AL22CS057,PARTIAL,"Student already exists","Not attempted"
4AL22CS058,PARTIAL,"Student already exists","Not attempted"
4AL22CS059,PARTIAL,"Student already exists","Not attempted"
4AL22CS060,PARTIAL,"Student already exists","Not attempted"
4AL22CS061,PARTIAL,"Student already exists","Not attempted"
4AL22CS063,PARTIAL,"Student already exists","Not attempted"
4AL22CS064,PARTIAL,"Student already exists","Not attempted"
4AL22CS065,PARTIAL,"Student already exists","Not attempted"
4AL22CS066,PARTIAL,"Student already exists","Not attempted"
4AL22CS067,PARTIAL,"Student already exists","Not attempted"
4AL22CS068,PARTIAL,"Student already exists","Not attempted"
4AL22CS069,PARTIAL,"Student already exists","Not attempted"
4AL22CS070,PARTIAL,"Student already exists","Not attempted"
4AL22CS071,PARTIAL,"Student already exists","Not attempted"
4AL22CS072,PARTIAL,"Student already exists","Not attempted"
4AL22CS073,PARTIAL,"Student already exists","Not attempted"
4AL22CS074,PARTIAL,"Student already exists","Not attempted"
4AL22CS075,PARTIAL,"Student already exists","Not attempted"
4AL22CS076,PARTIAL,"Student already exists","Not attempted"
4AL22CS077,PARTIAL,"Student already exists","Not attempted"
4AL22CS078,PARTIAL,"Student already exists","Not attempted"
4AL22CS079,PARTIAL,"Student already exists","Not attempted"
4AL22CS080,PARTIAL,"Student already exists","Not attempted"
4AL22CS081,PARTIAL,"Student already exists","Not attempted"
4AL22CS082,PARTIAL,"Student already exists","Not attempted"
4AL22CS083,PARTIAL,"Student already exists","Not attempted"
4AL22CS084,PARTIAL,"Student already exists","Not attempted"
4AL22CS085,PARTIAL,"Student already exists","Not attempted"
4AL22CS086,PARTIAL,"Student already exists","Not attempted"
4AL22CS087,PARTIAL,"Student already exists","Not attempted"
4AL22CS088,PARTIAL,"Student already exists","Not attempted"
4AL22CS089,PARTIAL,"Student already exists","Not attempted"
4AL22CS090,PARTIAL,"Student already exists","Not attempted"
4AL22CS091,PARTIAL,"Student already exists","Not attempted"
4AL22CS092,PARTIAL,"Student already exists","Not attempted"
4AL22CS093,PARTIAL,"Student already exists","Not attempted"
4AL22CS094,PARTIAL,"Student already exists","Not attempted"
4AL22CS095,PARTIAL,"Student already exists","Not attempted"
4AL22CS096,PARTIAL,"Student already exists","Not attempted"
4AL22CS097,PARTIAL,"Student already exists","Not attempted"
4AL22CS098,PARTIAL,"Student already exists","Not attempted"
4AL22CS099,PARTIAL,"Student already exists","Not attempted"
4AL22CS100,PARTIAL,"Student already exists","Not attempted"
4AL22CS101,PARTIAL,"Student already exists","Not attempted"
4AL22CS102,PARTIAL,"Student already exists","Not attempted"
4AL22CS103,PARTIAL,"Student already exists","Not attempted"
4AL22CS104,PARTIAL,"Student already exists","Not attempted"
4AL22CS105,PARTIAL,"Student already exists","Not attempted"
4AL22CS106,PARTIAL,"Student already exists","Not attempted"
4AL22CS107,PARTIAL,"Student already exists","Not attempted"
4AL22CS108,PARTIAL,"Student already exists","Not attempted"
4AL22CS109,PARTIAL,"Student already exists","Not attempted"
4AL22CS110,PARTIAL,"Student already exists","Not attempted"
4AL22CS111,PARTIAL,"Student already exists","Not attempted"
4AL22CS112,PARTIAL,"Student already exists","Not attempted"
4AL22CS113,PARTIAL,"Student already exists","Not attempted"
4AL22CS114,PARTIAL,"Student already exists","Not attempted"
4AL22CS115,PARTIAL,"Student already exists","Not attempted"
4AL22CS116,PARTIAL,"Student already exists","Not attempted"
4AL22CS117,PARTIAL,"Student already exists","Not attempted"
4AL22CS118,PARTIAL,"Student already exists","Not attempted"
4AL22CS119,PARTIAL,"Student already exists","Not attempted"
4AL22CS120,PARTIAL,"Student already exists","Not attempted"
4AL22CS121,PARTIAL,"Student already exists","Not attempted"
4AL22CS122,PARTIAL,"Student already exists","Not attempted"
4AL22CS123,PARTIAL,"Student already exists","Not attempted"
4AL22CS124,PARTIAL,"Student already exists","Not attempted"
4AL22CS125,PARTIAL,"Student already exists","Not attempted"
4AL22CS126,PARTIAL,"Student already exists","Not attempted"
4AL22CS127,PARTIAL,"Student already exists","Not attempted"
4AL22CS128,PARTIAL,"Student already exists","Not attempted"
4AL22CS129,PARTIAL,"Student already exists","Not attempted"
4AL22CS130,PARTIAL,"Student already exists","Not attempted"
4AL22CS131,PARTIAL,"Student already exists","Not attempted"
4AL22CS132,PARTIAL,"Student already exists","Not attempted"
4AL22CS133,PARTIAL,"Student already exists","Not attempted"
4AL22CS134,PARTIAL,"Student already exists","Not attempted"
4AL22CS135,PARTIAL,"Student already exists","Not attempted"
4AL22CS136,PARTIAL,"Student already exists","Not attempted"
4AL22CS137,PARTIAL,"Student already exists","Not attempted"
4AL22CS138,PARTIAL,"Student already exists","Not attempted"
4AL22CS139,PARTIAL,"Student already exists","Not attempted"
4AL22CS140,PARTIAL,"Student already exists","Not attempted"
4AL22CS141,PARTIAL,"Student already exists","Not attempted"
4AL22CS142,PARTIAL,"Student already exists","Not attempted"
4AL22CS143,PARTIAL,"Student already exists","Not attempted"
4AL22CS144,PARTIAL,"Student already exists","Not attempted"
4AL22CS145,PARTIAL,"Student already exists","Not attempted"
4AL22CS146,PARTIAL,"Student already exists","Not attempted"
4AL22CS147,PARTIAL,"Student already exists","Not attempted"
4AL22CS148,PARTIAL,"Student already exists","Not attempted"
4AL22CS149,PARTIAL,"Student already exists","Not attempted"
4AL22CS150,PARTIAL,"Student already exists","Not attempted"
4AL22CS151,PARTIAL,"Student already exists","Not attempted"
4AL22CS152,PARTIAL,"Student already exists","Not attempted"
4AL22CS153,PARTIAL,"Student already exists","Not attempted"
4AL22CS154,PARTIAL,"Student already exists","Not attempted"
4AL22CS155,PARTIAL,"Student already exists","Not attempted"
4AL22CS156,PARTIAL,"Student already exists","Not attempted"
4AL22CS157,PARTIAL,"Student already exists","Not attempted"
4AL22CS158,PARTIAL,"Student already exists","Not attempted"
4AL22CS159,PARTIAL,"Student already exists","Not attempted"
4AL22CS160,PARTIAL,"Student already exists","Not attempted"
4AL22CS161,PARTIAL,"Student already exists","Not attempted"
4AL22CS162,PARTIAL,"Student already exists","Not attempted"
4AL22CS163,PARTIAL,"Student already exists","Not attempted"
4AL22CS164,PARTIAL,"Student already exists","Not attempted"
4AL22CS165,PARTIAL,"Student already exists","Not attempted"
4AL22CS166,PARTIAL,"Student already exists","Not attempted"
4AL22CS167,PARTIAL,"Student already exists","Not attempted"
4AL22CS168,PARTIAL,"Student already exists","Not attempted"
4AL22CS169,PARTIAL,"Student already exists","Not attempted"
4AL22CS170,PARTIAL,"Student already exists","Not attempted"
4AL22CS171,PARTIAL,"Student already exists","Not attempted"
4AL22CS172,PARTIAL,"Student already exists","Not attempted"
4AL22CS173,PARTIAL,"Student already exists","Not attempted"
4AL22CS174,PARTIAL,"Student already exists","Not attempted"
4AL22CS175,PARTIAL,"Student already exists","Not attempted"
4AL22CS176,PARTIAL,"Student already exists","Not attempted"
4AL22CS177,PARTIAL,"Student already exists","Not attempted"
4AL22CS178,PARTIAL,"Student already exists","Not attempted"
4AL22CS179,PARTIAL,"Student already exists","Not attempted"
4AL22CS180,PARTIAL,"Student already exists","Not attempted"
4AL22CS181,PARTIAL,"Student already exists","Not attempted"
4AL22CS182,PARTIAL,"Student already exists","Not attempted"
4AL22CS183,PARTIAL,"Student already exists","Not attempted"
4AL22CS184,PARTIAL,"Student already exists","Not attempted"
4AL22CS185,PARTIAL,"Student already exists","Not attempted"
4AL22CS186,PARTIAL,"Student already exists","Not attempted"
4AL22CS187,PARTIAL,"Student already exists","Not attempted"
4AL22CS188,PARTIAL,"Student already exists","Not attempted"
4AL22CS189,PARTIAL,"Student already exists","Not attempted"
4AL22CS190,PARTIAL,"Student already exists","Not attempted"
4AL23CS400,PARTIAL,"Student already exists","Not attempted"
4AL23CS401,PARTIAL,"Student already exists","Not attempted"
4AL23CS402,PARTIAL,"Student already exists","Not attempted"
4AL23CS403,PARTIAL,"Student already exists","Not attempted"
4AL23CS404,PARTIAL,"Student already exists","Not attempted"
4AL23CS405,PARTIAL,"Student already exists","Not attempted"
4AL23CS406,PARTIAL,"Student already exists","Not attempted"
4AL23CS407,PARTIAL,"Student already exists","Not attempted"
4AL23CS408,PARTIAL,"Student already exists","Not attempted"
4AL23CS409,PARTIAL,"Student already exists","Not attempted"
4AL23CS410,PARTIAL,"Student already exists","Not attempted"
4AL23CS411,PARTIAL,"Student already exists","Not attempted"
4AL23CS412,PARTIAL,"Student already exists","Not attempted"
